date,open,high,low,close,volume
1609632000000,6.41075,7.053,6.376,6.99,4683670.62745
1609718400000,6.99,7.709,6.3725,7.572,8432561.75145
1609804800000,7.572,8.782,7.0715,8.7005,7081984.54345
1609891200000,8.7005,9.4365,8.3935,9.4255,9381739.72915
1609977600000,9.4255,10.121,9.165,9.6,11826164.4478
1610064000000,9.6,9.7545,8.3775,9.373,11634659.9155
1610150400000,9.373,9.687,8.716,9.6055,8798702.56295
1610236800000,9.6055,9.9725,8.5,9.2975,7523567.98995
1610323200000,9.2975,9.3135,7.07,8.6055,8835180.03375
1610409600000,8.6055,9.1715,8.025,8.4165,5630395.6836
1610496000000,8.4165,9.2545,7.98,9.21,4296797.23135
1610582400000,9.21,9.9,8.9295,9.6485,5191226.54125
1610668800000,9.6485,9.8,8.5035,9.1615,4806391.2334
1610755200000,9.1615,9.807,9.039,9.43,4106170.8815
1610841600000,9.43,10.29,8.868,10.032,7388792.20745
1610928000000,10.032,10.7585,9.9045,10.738,11594815.034
1611014400000,10.738,11.3,10.4885,10.647,10604743.73315
1611100800000,10.647,10.7565,9.66,10.498,12263341.86405
1611187200000,10.51,10.5745,8.575,8.842,9807848.12495
1611273600000,8.842,10.1615,8.11,9.898,8254849.66685
1611360000000,9.898,10.0705,9.466,9.7635,5844425.08525
1611446400000,9.7635,10.379,9.667,10.3485,6246477.04975
1611532800000,10.3485,10.767,9.6465,9.783,10521855.85795
1611619200000,9.783,10.305,9.3245,10.2705,7157248.0196
1611705600000,10.2705,10.2845,9.11,9.599,6020080.46575
1611792000000,9.599,11.817,9.3675,11.618,13972627.6189
1611878400000,11.618,13.0495,11.082,11.8685,21736084.07585
1611964800000,11.8685,12.0925,11.0055,11.542,10682518.2226
1612051200000,11.542,11.602,10.8685,11.1035,4354280.90635
1612137600000,11.1035,11.9235,10.7975,11.889,5697281.91035
1612224000000,11.889,12.916,11.88,12.7325,7811104.11655
1612310400000,12.7325,13.409,12.7325,13.4005,9591239.30765
1612396800000,13.4005,13.7075,12.814,13.271,11604113.6435
1612483200000,13.271,14.934,13.263,14.9115,14603207.63375
1612569600000,14.9115,15.615,14.3385,14.6215,23544525.32395
