date,open,high,low,close,volume
1610064000000,0.658,0.7402,0.657,0.6971,558192.4393
1610150400000,0.6971,0.8211,0.67005,0.7685,2014699.59775
1610236800000,0.7685,0.84915,0.7,0.755,2100787.98865
1610323200000,0.755,0.75575,0.5315,0.619,844552.92205
1610409600000,0.619,0.67,0.5787,0.6205,973543.99735
1610496000000,0.6205,0.69365,0.60125,0.6875,848409.3407
1610582400000,0.6875,0.79825,0.66425,0.79825,2512252.3082
1610668800000,0.79825,1.2,0.7875,1.1494,11423579.1413
1610755200000,1.1494,1.27185,1.0482,1.10925,8830093.57475
1610841600000,1.10925,1.78355,1.0539,1.6908,15945247.6393
1610928000000,1.6908,1.7769,1.3768,1.60765,8524827.5636
1611014400000,1.60765,1.6655,1.31435,1.3356,8001432.15955
1611100800000,1.3356,1.6487,1.246,1.6312,9439680.99625
1611187200000,1.6312,1.9187,1.45,1.67005,13231772.24005
1611273600000,1.67005,2.0953,1.41615,1.95805,13624747.2634
1611360000000,1.95805,2.29695,1.9113,2.13515,9396644.73875
1611446400000,2.13515,2.357,2.03705,2.25655,8793876.00745
1611532800000,2.25655,2.3109,1.97255,2.0087,6254653.89765
1611619200000,2.0087,2.25,1.8283,2.1436,8338021.4343
1611705600000,2.1436,2.15035,1.7354,1.81935,8182902.04495
1611792000000,1.8185,2.2108,1.75545,2.08795,7278985.877
1611878400000,2.08795,2.13475,1.85585,2.05155,6185595.68395
1611964800000,2.05155,2.6673,1.8879,2.5556,12737156.7312
1612051200000,2.5556,2.8464,2.2753,2.52415,15289744.5417
1612137600000,2.52415,2.6841,2.306,2.54925,9802260.70225
1612224000000,2.54925,2.76825,2.437,2.51,7403315.13855
1612310400000,2.51,2.72035,2.4072,2.65225,8520088.49605
1612396800000,2.65225,3.2666,2.437,3.0354,21296231.215
1612483200000,3.0354,3.4244,3.0354,3.29,14816275.5892
1612569600000,3.29,3.725,3.0154,3.1604,16923026.20575
1612656000000,3.1604,3.2073,2.64575,2.9937,10014806.4163
1612742400000,2.9937,3.25535,2.86,3.0865,7794232.79335
1612828800000,3.0865,3.3049,2.9574,3.2,12425175.548
1612915200000,3.2,3.4139,2.86,3.0959,16263133.7993
1613001600000,3.0959,3.59755,3.01,3.5872,14397760.89825
1613088000000,3.5872,3.66245,3.19,3.4147,10436668.48155
